puntualidad,planificacion,dominio_contenido,participacion,evaluacion,retroalimentacion,uso_tecnologia,gestion_aula,comunicacion,empatia,asistencia,innovacion,nivel_desempeno,codigo_clase,score_global
74.75,92.79,40.93,25.94,74.03,21.94,27.13,87.48,43.45,23.15,43.17,16.09,Regular,2,47.57
78.99,84.79,89.65,85.36,81.34,76.31,86.34,87.76,82.93,78.85,89.34,100.0,Sobresaliente,0,85.14
41.38,83.76,88.35,32.32,87.86,82.67,98.59,96.34,83.78,29.33,100.0,80.11,Bueno,1,75.37
83.66,27.58,85.91,80.68,37.48,91.21,27.7,89.64,78.64,37.63,92.0,81.74,Bueno,1,67.82
26.94,45.93,89.87,30.3,93.75,37.89,90.97,73.68,29.79,31.45,9.21,15.91,Insuficiente,3,47.98
90.22,84.38,93.22,66.92,90.07,76.73,92.67,83.17,35.74,87.99,77.71,77.7,Sobresaliente,0,79.71
71.87,82.64,70.19,31.72,88.29,51.15,24.61,98.82,93.77,28.84,10.67,39.86,Regular,2,57.7
88.41,97.5,19.33,75.86,82.0,79.76,90.55,42.14,98.92,31.24,91.16,81.91,Bueno,1,73.23
83.16,91.46,84.3,35.62,84.57,26.9,35.17,79.27,94.28,32.26,19.79,46.32,Regular,2,59.43
31.71,93.99,94.67,95.79,88.53,84.0,72.17,90.75,92.33,21.14,92.06,95.92,Bueno,1,79.42
74.26,35.42,89.8,82.09,75.74,93.34,98.84,77.53,82.61,26.61,29.87,100.0,Sobresaliente,0,72.18
80.04,99.82,77.1,86.4,79.93,23.71,24.16,81.52,75.39,24.96,12.43,35.55,Regular,2,58.42
76.77,92.77,86.28,76.92,78.9,92.64,82.05,85.37,90.24,37.83,72.79,90.1,Bueno,1,80.22
0.13,22.98,90.28,44.5,22.0,32.38,29.76,33.98,26.37,39.26,40.05,16.77,Insuficiente,3,33.2
86.11,92.65,87.79,45.59,85.91,100.0,24.2,93.34,82.18,89.91,43.77,25.57,Regular,2,71.42
17.62,22.66,96.92,34.91,29.38,26.79,14.85,36.13,88.51,68.57,30.28,37.91,Insuficiente,3,42.04
84.22,31.53,84.41,89.86,84.67,92.56,94.07,87.34,87.21,14.26,87.36,75.69,Bueno,1,76.1
92.64,84.26,78.88,83.19,88.78,90.94,87.3,92.94,80.54,86.88,72.45,91.11,Sobresaliente,0,85.82
32.08,44.04,94.24,39.1,85.05,24.09,92.43,89.73,81.31,42.99,29.07,24.65,Insuficiente,3,56.57
40.44,80.76,77.74,35.7,44.43,25.47,20.29,50.95,30.21,44.82,23.37,33.79,Insuficiente,3,42.33
84.53,92.39,95.04,76.1,82.23,73.84,86.1,84.19,82.21,79.52,81.91,79.03,Sobresaliente,0,83.09
81.58,83.51,81.44,74.24,97.04,66.42,79.93,89.63,73.99,18.2,95.18,78.28,Bueno,1,76.62
22.38,19.78,91.98,52.37,29.1,30.55,15.85,29.32,33.7,29.11,36.11,21.52,Insuficiente,3,34.31
22.47,19.9,86.54,33.34,27.95,31.04,39.84,30.99,46.06,27.46,22.22,28.93,Insuficiente,3,34.73
89.04,87.85,41.42,83.98,82.54,91.07,76.33,95.73,85.27,79.01,16.62,79.58,Sobresaliente,0,75.7
43.18,23.15,84.57,27.52,88.56,31.9,28.2,76.22,84.68,35.07,43.97,80.47,Regular,2,53.96
90.65,33.69,87.06,33.49,80.07,29.66,26.54,78.69,29.56,16.81,26.81,29.49,Regular,2,46.88
71.33,94.24,21.91,93.67,85.41,91.5,96.56,80.37,85.38,18.15,32.46,71.95,Bueno,1,70.24
80.08,74.4,28.49,5.89,93.99,29.48,31.78,81.89,87.02,78.65,25.49,25.66,Regular,2,53.57
77.33,93.22,85.12,86.43,88.62,84.83,81.97,88.73,81.76,7.47,79.66,73.08,Bueno,1,77.35
86.03,85.38,90.63,31.41,73.78,32.24,42.78,93.83,83.78,34.51,83.72,14.87,Regular,2,62.75
79.18,77.42,83.1,80.61,86.87,20.23,74.1,85.54,74.26,80.07,32.36,68.4,Sobresaliente,0,70.18
