real,predicho,pasos_reconstruccion
Regular,Sobresaliente,2
Sobresaliente,Insuficiente,1
Bueno,Insuficiente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Regular,Sobresaliente,1
Bueno,Insuficiente,2
Regular,Sobresaliente,1
Bueno,Insuficiente,2
Sobresaliente,Insuficiente,2
Regular,Sobresaliente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Regular,Insuficiente,3
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Sobresaliente,Insuficiente,1
Insuficiente,Sobresaliente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,1
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Regular,Insuficiente,2
Regular,Sobresaliente,2
Bueno,Insuficiente,2
Regular,Sobresaliente,2
Bueno,Insuficiente,2
Regular,Insuficiente,2
Sobresaliente,Insuficiente,2
Regular,Sobresaliente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,1
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Regular,Insuficiente,3
Regular,Sobresaliente,1
Sobresaliente,Insuficiente,2
Bueno,Insuficiente,2
Bueno,Insuficiente,2
Regular,Sobresaliente,2
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,3
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Regular,Insuficiente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Regular,Sobresaliente,2
Regular,Sobresaliente,1
Regular,Sobresaliente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Insuficiente,Sobresaliente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Insuficiente,Sobresaliente,2
Insuficiente,Sobresaliente,2
Regular,Sobresaliente,2
Insuficiente,Sobresaliente,2
Regular,Sobresaliente,2
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Bueno,Insuficiente,2
Regular,Sobresaliente,1
Insuficiente,Sobresaliente,2
Regular,Sobresaliente,2
Sobresaliente,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,1
Sobresaliente,Insuficiente,2
Regular,Sobresaliente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,2
Regular,Insuficiente,3
Insuficiente,Sobresaliente,1
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Regular,Sobresaliente,2
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Regular,Insuficiente,2
Sobresaliente,Insuficiente,1
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,1
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Sobresaliente,Sobresaliente,2
Regular,Insuficiente,2
Bueno,Insuficiente,2
Sobresaliente,Insuficiente,2
Regular,Sobresaliente,2
Regular,Sobresaliente,3
Insuficiente,Sobresaliente,2
Sobresaliente,Insuficiente,2
Sobresaliente,Insuficiente,1
Sobresaliente,Insuficiente,1
Sobresaliente,Insuficiente,1
Regular,Insuficiente,3
Bueno,Insuficiente,2
Insuficiente,Sobresaliente,2
Bueno,Insuficiente,2
Regular,Sobresaliente,2
Sobresaliente,Insuficiente,2
Insuficiente,Sobresaliente,2
