invoice_id,date,time,city,product,category,quantity,unit_price,cogs,vat,total,payment_method,gender,customer_type
T-100000,23/03/26,10:01,Progreso de Obregón,Huevo,Abarrotes,1,40.63,40.63,6.5,47.13,Tarjeta débito,Male,Member
T-100000,23/03/26,10:01,Progreso de Obregón,Galletas,Snacks,1,23.54,23.54,3.77,27.31,Tarjeta débito,Male,Member
T-100000,23/03/26,10:01,Progreso de Obregón,Sabritas,Snacks,4,20.85,83.4,13.34,96.74,Tarjeta débito,Male,Member
T-100000,23/03/26,10:01,Progreso de Obregón,Leche,Lácteos,1,21.5,21.5,3.44,24.94,Tarjeta débito,Male,Member
T-100000,23/03/26,10:01,Progreso de Obregón,Pan blanco,Panadería,2,36.14,72.28,11.56,83.84,Tarjeta débito,Male,Member
T-100001,30/01/26,17:38,Progreso de Obregón,Refresco,Bebidas,4,17.45,69.8,11.17,80.97,Efectivo,Male,Normal
T-100001,30/01/26,17:38,Progreso de Obregón,Sabritas,Snacks,3,19.56,58.68,9.39,68.07,Efectivo,Male,Normal
T-100001,30/01/26,17:38,Progreso de Obregón,Queso,Lácteos,1,46.59,46.59,7.45,54.04,Efectivo,Male,Normal
T-100002,21/01/26,20:27,Progreso de Obregón,Queso,Lácteos,3,47.58,142.74,22.84,165.58,Efectivo,Male,Member
T-100002,21/01/26,20:27,Progreso de Obregón,Pan blanco,Panadería,1,35.74,35.74,5.72,41.46,Efectivo,Male,Member
T-100002,21/01/26,20:27,Progreso de Obregón,Detergente,Limpieza,1,74,74,11.84,85.84,Efectivo,Male,Member
T-100002,21/01/26,20:27,Progreso de Obregón,Papel higiénico,Limpieza,3,63.29,189.87,30.38,220.25,Efectivo,Male,Member
T-100002,21/01/26,20:27,Progreso de Obregón,Sabritas,Snacks,3,21.41,64.23,10.28,74.51,Efectivo,Male,Member
T-100003,06/01/26,20:29,Progreso de Obregón,Frijol,Abarrotes,3,30.25,90.75,14.52,105.27,Tarjeta débito,Female,Member
T-100003,06/01/26,20:29,Progreso de Obregón,Galletas,Snacks,3,26.29,78.87,12.62,91.49,Tarjeta débito,Female,Member
T-100003,06/01/26,20:29,Progreso de Obregón,Sabritas,Snacks,2,19.23,38.46,6.15,44.61,Tarjeta débito,Female,Member
T-100003,06/01/26,20:29,Progreso de Obregón,Yogurt,Lácteos,1,14.74,14.74,2.36,17.1,Tarjeta débito,Female,Member
T-100003,06/01/26,20:29,Progreso de Obregón,Leche,Lácteos,2,22.94,45.88,7.34,53.22,Tarjeta débito,Female,Member
T-100004,07/02/26,10:54,Progreso de Obregón,Cerveza,Bebidas,4,24.43,97.72,15.64,113.36,Efectivo,Male,Normal
T-100004,07/02/26,10:54,Progreso de Obregón,Galletas,Snacks,3,25.44,76.32,12.21,88.53,Efectivo,Male,Normal
T-100004,07/02/26,10:54,Progreso de Obregón,Huevo,Abarrotes,3,42.17,126.51,20.24,146.75,Efectivo,Male,Normal
T-100005,15/02/26,12:42,Progreso de Obregón,Frijol,Abarrotes,2,30.6,61.2,9.79,70.99,Efectivo,Male,Member
T-100005,15/02/26,12:42,Progreso de Obregón,Huevo,Abarrotes,4,48.25,193,30.88,223.88,Efectivo,Male,Member
T-100005,15/02/26,12:42,Progreso de Obregón,Detergente,Limpieza,3,80.53,241.59,38.65,280.24,Efectivo,Male,Member
